代码,名称,当前,近1月,近3月,近6月,近1年,近3年,成立来,,
1003,华夏债券C,1.0239,-0.11%,0.47%,-0.20%,0.47%,3.81%,90.10%,,
1004,新华稳健回报混合发起式,0.7713,-2.30%,-8.93%,-11.05%,-7.16%,-14.04%,-23.50%,,
1006,中信建投凤凰货币A,0.7054,0.24%,0.79%,1.69%,3.72%,9.90%,11.53%,,
1007,国联安鑫安灵活配置混合,0.8506,-3.48%,-21.04%,-16.15%,-19.46%,-7.05%,-0.82%,,
1008,工银国企改革股票,0.9515,0.42%,-6.84%,-12.49%,-11.27%,4.15%,-4.70%,,
1009,上投摩根安全战略股票,0.7319,-5.90%,-20.65%,-23.30%,-28.88%,-27.11%,-26.60%,,
1010,易方达增金宝货币,0.8103,0.25%,0.93%,1.98%,4.13%,11.52%,15.10%,,
1011,华夏希望债券A,1.0801,0.00%,-1.10%,-3.67%,-3.75%,2.57%,71.97%,,
1013,华夏希望债券C,1.062,-0.09%,-1.21%,-3.82%,-4.08%,1.57%,66.44%,,
1014,中融融安混合,0.8757,-5.12%,-11.39%,-14.13%,-16.39%,-11.84%,-12.28%,,
1015,华夏沪深300指数增强A,1.1714,-2.78%,-7.53%,-17.91%,-17.09%,9.58%,15.50%,,
1016,华夏沪深300指数增强C,1.1501,-2.74%,-7.58%,-18.12%,-17.47%,8.00%,13.40%,,
1017,泰达改革动力混合A,1.007,-2.32%,-12.73%,-19.30%,-23.08%,8.15%,19.08%,,
1018,易方达新经济混合,1.2935,-8.37%,-13.45%,-22.69%,-18.36%,20.51%,28.10%,,
1019,兴业年年利定开债,1.079,0.37%,2.76%,3.36%,3.26%,7.70%,14.16%,,
1021,华夏亚债中国指数A,1.1801,0.94%,0.60%,2.97%,4.70%,7.57%,30.18%,,
1023,华夏亚债中国指数C,1.1481,0.97%,0.53%,2.78%,4.36%,6.49%,26.80%,,
1026,诺安理财宝货币C,0.871,0.26%,0.90%,1.95%,4.07%,10.60%,13.28%,,
1027,前海开源中证大农业指数增强,0.6747,3.20%,-7.63%,-10.91%,-14.29%,-18.90%,-32.20%,,
1028,华安物联网主题股票,0.5413,-8.63%,-19.76%,-26.63%,-32.33%,-28.57%,-46.00%,,
1029,国投瑞银新动力混合,1.1471,0.12%,0.46%,0.63%,8.57%,18.78%,27.10%,,
1030,天弘云端生活优选,0.6375,-8.72%,-14.57%,-17.23%,-20.98%,-25.69%,-36.39%,,
1031,华夏安康优选债券A,1.2715,0.24%,0.71%,0.08%,3.76%,11.79%,44.92%,,
1033,华夏安康优选债券C,1.2464,0.24%,0.65%,-0.08%,3.49%,10.79%,42.28%,,
1035,中银恒利半年定开债,1.0104,-0.20%,0.67%,1.46%,3.38%,10.70%,26.77%,,
1036,嘉实企业变革股票,0.728,-7.46%,-18.21%,-30.42%,-25.61%,-19.47%,-26.80%,,
1037,国投瑞银锐意改革混合,0.5882,-11.49%,-17.06%,-32.07%,-39.86%,-27.51%,-40.70%,,
1039,嘉实先进制造股票,0.6527,-7.11%,-17.03%,-25.63%,-28.79%,-13.40%,-34.70%,,
1040,新华策略精选股票,0.855,-5.52%,-17.11%,-23.68%,-17.03%,-0.12%,-16.20%,,
1041,南方理财60天债券E,0.9338,0.29%,1.01%,2.08%,4.32%,11.74%,14.70%,,
1042,华夏领先股票,0.4609,-7.07%,-13.21%,-30.20%,-41.10%,-34.84%,-54.00%,,
1043,工银美丽城镇股票,0.9101,-3.70%,-11.05%,-18.75%,-16.67%,11.11%,-9.00%,,
1044,嘉实新消费股票,1.2152,-2.17%,-17.18%,-16.09%,-9.46%,36.67%,21.50%,,
1045,华夏可转债增强债券A,0.8854,-2.77%,-3.94%,-12.81%,-16.30%,--,-12.20%,,
1046,华夏可转债增强债券I,--,--,--,--,--,--,0.00%,,
1047,光大国企改革股票,0.9598,-0.52%,-8.29%,-19.57%,-16.13%,8.46%,-3.80%,,
1048,富国新兴产业股票,0.9672,-6.18%,-16.27%,-28.58%,-32.37%,-22.26%,-4.30%,,
1050,汇添富成长多因子量化策略股票,0.8882,-6.57%,-15.52%,-23.04%,-26.19%,-10.91%,-11.80%,,
1051,华夏上证50ETF联接A,0.8467,-0.12%,-0.36%,-11.43%,-8.90%,13.10%,-17.10%,,
1052,华夏中证500ETF联接A,0.4729,-7.75%,-13.30%,-26.77%,-32.67%,-29.69%,-52.40%,,
1053,南方创新经济,1.0788,-1.73%,-13.25%,-11.33%,-7.30%,24.86%,8.00%,,
1054,工银新金融股票,0.8804,-1.56%,-8.39%,-19.85%,-16.68%,8.87%,-11.60%,,
1056,北信瑞丰健康生活,0.7317,-4.17%,-13.11%,-17.58%,-26.18%,-11.86%,-26.40%,,
1057,华夏理财30天债券A,0.8654,0.25%,0.94%,2.05%,4.33%,11.56%,27.24%,,
1058,华夏理财30天债券B,0.932,0.27%,1.00%,2.18%,4.58%,9.77%,25.13%,,
1059,中金绝对收益,1.0161,-0.78%,-1.45%,-0.49%,-0.20%,-3.05%,1.60%,,
1060,前海开源高端装备制造混合,1.1444,-1.88%,-7.28%,-10.74%,-4.89%,18.00%,14.70%,,
1061,华夏海外收益债券A,--,2.02%,6.67%,6.40%,2.51%,25.54%,45.27%,,
1063,华夏海外收益债券C,--,1.99%,6.57%,6.12%,2.07%,23.90%,41.87%,,
1064,广发中证环保ETF联接A,0.4834,-8.92%,-17.30%,-32.19%,-40.33%,-37.57%,-51.58%,,
1065,华夏海外收益债券现汇,--,0.99%,2.35%,-2.87%,-1.61%,15.44%,32.35%,,
1066,华夏海外收益债券现钞,--,--,--,--,--,--,--,,
1067,鹏华弘盛混合A,1.16,-0.72%,-3.62%,-3.80%,-0.42%,9.55%,16.34%,,
1068,华融新锐灵活配置混合,0.8547,-1.27%,-9.43%,-13.55%,-13.29%,-8.16%,-14.50%,,
1069,华泰柏瑞消费成长混合,0.8681,-4.58%,-20.29%,-19.85%,-23.63%,-23.76%,-12.40%,,
1070,建信信息产业股票,0.9223,-2.83%,-15.19%,-24.76%,-30.51%,-13.93%,-7.30%,,
1071,华安媒体互联网混合,0.9147,-14.83%,-9.24%,-18.55%,-10.84%,16.31%,-8.70%,,
1072,华安智能装备主题股票,0.8189,-3.89%,-13.92%,-22.95%,-20.60%,7.87%,-14.25%,,
1073,华泰柏瑞量化绝对收益混合,1.0994,0.33%,0.42%,2.28%,2.11%,9.97%,9.88%,,
1074,华泰柏瑞量化驱动混合,0.8968,-0.58%,-8.05%,-14.56%,-21.02%,13.14%,-10.26%,,
1075,宝盈转型动力混合,0.5297,-5.66%,-16.20%,-27.78%,-25.77%,-23.97%,-46.70%,,
1076,易方达改革红利混合,0.8234,-2.78%,-18.93%,-21.08%,-9.85%,0.88%,-19.50%,,
1077,华夏现金宝货币A,0.6948,0.25%,0.78%,1.77%,3.91%,9.30%,22.13%,,
1078,华夏现金宝货币B,0.7582,0.27%,0.84%,1.90%,4.16%,10.15%,18.32%,,
1086,华富恒利债券A,1.0211,-2.30%,-4.85%,-4.49%,-4.31%,1.90%,2.10%,,
1087,华富恒利债券C,1.0071,-2.33%,-4.82%,-4.55%,-4.64%,0.50%,0.70%,,
1088,华宝国策导向混合,0.5467,-5.01%,-14.99%,-22.32%,-31.51%,-32.01%,-45.00%,,
1092,广发生物科技指数(QDII),1.0153,-6.28%,-2.22%,12.90%,0.10%,12.15%,1.50%,,
1093,广发生物科技指数美元,0.1469,-7.08%,-6.25%,2.80%,-4.61%,3.09%,-9.82%,,
1094,国投瑞银添利宝货币A,1.1272,0.25%,0.82%,1.77%,3.87%,10.75%,12.15%,,
1095,国投瑞银添利宝货币B,1.125,0.25%,0.82%,1.77%,3.87%,10.77%,12.12%,,
1096,国寿安保聚宝盆货币,0.8188,0.27%,0.93%,2.00%,4.24%,11.17%,14.07%,,
1097,华泰柏瑞积极优选股票,0.5244,-4.33%,-16.01%,-21.37%,-21.48%,-21.01%,-47.00%,,
1101,银华惠添益货币,0.5342,0.24%,1.02%,1.92%,3.65%,--,7.55%,,
1102,前海开源国家比较优势混合,1.1602,-6.65%,-20.46%,-17.90%,-14.55%,16.85%,15.10%,,
1103,前海开源工业革命4.0混合,0.9842,-6.27%,-8.86%,-11.46%,-4.91%,15.65%,11.83%,,
1104,华安新丝路主题股票,0.8779,-4.26%,-5.09%,-15.36%,-16.41%,5.29%,-12.40%,,
1105,信达澳银转型创新股票,0.5867,-2.94%,-15.36%,-18.72%,-23.42%,-10.12%,-40.50%,,
1106,华商健康生活混合,0.6863,-5.12%,-16.87%,-26.34%,-25.87%,-19.60%,-28.84%,,
1110,中欧瑾泉灵活配置混合A,1.4729,0.05%,0.10%,0.36%,3.20%,13.64%,47.39%,,
1111,中欧瑾泉灵活配置混合C,1.1607,0.06%,0.09%,0.35%,3.14%,12.01%,16.15%,,
1112,东方红中国优势混合,1.3754,-1.22%,-14.76%,-17.27%,-7.09%,43.83%,37.50%,,
1113,南方大数据100A,0.5875,-7.56%,-16.53%,-28.08%,-35.59%,-27.23%,-41.27%,,
1115,广发聚安混合A,1.139,0.53%,0.53%,0.35%,5.07%,36.14%,50.30%,,
1116,广发聚安混合C,1.129,0.36%,0.36%,0.09%,4.54%,23.26%,30.54%,,
1117,中欧精选定期开放混合A,0.784,-8.23%,-11.39%,-16.07%,-17.64%,-20.78%,-25.30%,,
1118,华宝事件驱动混合,0.5699,-0.70%,-13.11%,-24.00%,-25.68%,-25.59%,-43.00%,,
1119,国投瑞银新回报混合,1.0026,-0.60%,-5.76%,-7.16%,-7.34%,-3.45%,1.47%,,
1120,东方睿鑫热点挖掘混合A,0.5519,0.91%,-7.73%,-16.05%,-22.44%,-23.57%,-44.49%,,
1121,东方睿鑫热点挖掘混合C,0.5329,0.83%,-7.94%,-16.41%,-23.14%,-25.57%,-46.40%,,
1122,鹏华弘利混合A,1.1239,0.01%,-0.85%,-0.45%,1.75%,9.97%,14.37%,,
1123,鹏华弘利混合C,1.1103,-0.02%,-0.92%,-0.60%,1.44%,8.98%,12.80%,,
1124,融通通泰保本混合C,0.9986,-0.10%,-0.20%,-1.09%,-1.96%,-0.20%,2.23%,,
1125,博时互联网主题灵活配置混合,0.5152,-10.45%,-23.85%,-33.07%,-34.02%,-23.63%,-48.60%,,
1126,上投摩根卓越制造股票,0.5431,-2.85%,-14.17%,-19.14%,-28.20%,-22.25%,-45.50%,,
1127,中银宏观策略混合,0.5943,-0.51%,-2.31%,-10.86%,-10.05%,-15.45%,-40.90%,,
1128,宝盈新兴产业混合,0.462,-2.32%,-14.10%,-21.66%,-24.59%,-25.92%,-53.70%,,
1133,广发中证全指可选消费联接A,0.5941,-4.72%,-17.89%,-25.97%,-32.27%,-27.89%,-40.59%,,
1134,广发天天利货币E,0.7315,0.23%,0.79%,1.80%,3.98%,10.53%,12.62%,,
1135,益民品质升级混合,0.498,1.63%,-7.42%,-10.73%,-17.38%,-27.15%,-50.10%,,
1136,易方达裕如混合,1.0109,0.10%,1.20%,0.10%,2.52%,10.60%,16.46%,,
1137,国投瑞银岁丰利债券A,1.06,0.67%,2.32%,1.63%,3.93%,8.85%,9.51%,,
1138,国投瑞银岁丰利债券C,1.053,0.67%,2.33%,1.54%,3.65%,7.98%,8.52%,,
1139,华安新动力灵活配置混合,1.1191,-0.09%,0.09%,0.54%,2.57%,8.75%,11.90%,,
1140,工银总回报灵活配置混合,0.8356,-0.36%,-6.77%,-14.72%,-16.00%,-6.67%,-16.00%,,
1141,泰达宏利创盈混合A,1.1519,1.58%,-1.03%,-4.53%,-3.34%,11.45%,15.80%,,
1142,泰达宏利创盈混合B,1.1267,1.52%,-1.14%,-4.71%,-3.50%,9.90%,13.20%,,
1143,华商量化进取混合,0.6352,-3.78%,-13.59%,-18.15%,-15.98%,-8.88%,-36.40%,,
1144,大成互联网思维混合,0.7211,-3.60%,-13.53%,-18.14%,-18.05%,-4.12%,-27.80%,,
1146,中欧瑾源灵活配置混合A,1.1901,-0.90%,-1.30%,-0.30%,2.42%,15.13%,19.04%,,
1147,中欧瑾源灵活配置混合C,1.1084,-0.89%,-1.30%,-0.31%,2.38%,9.66%,10.87%,,
1148,申万菱信多策略灵活配置混合A,1.144,0.18%,0.70%,7.93%,8.44%,17.41%,21.17%,,
1149,汇丰晋信恒生龙头指数C,1.3357,0.89%,-5.94%,-12.53%,-7.60%,26.59%,12.39%,,
1150,融通互联网传媒灵活配置混合,0.497,-4.20%,-14.33%,-19.03%,-17.57%,-29.40%,-49.80%,,
1151,融通互联网传媒灵活配置混合(后端),,,,,,,,,
1152,融通新区域新经济灵活配置混合,0.4417,-4.33%,-9.61%,-16.13%,-19.93%,-30.83%,-55.80%,,
1153,融通新区域新经济灵活配置混合(后端),,,,,,,,,
1154,北信瑞丰平安中国,0.6928,-6.57%,-10.53%,-17.22%,-35.16%,-29.09%,-30.30%,,
1156,申万菱信新能源汽车混合,0.7318,-6.98%,-20.67%,-29.04%,-30.32%,-23.65%,-26.70%,,
1157,国联安睿祺灵活配置混合,1.1586,0.02%,0.04%,0.43%,11.08%,13.48%,15.75%,,
1158,工银新材料新能源股票,0.5766,-1.37%,-8.54%,-12.82%,-28.64%,-24.05%,-42.20%,,
1159,大成景秀灵活配置混合A,0.9485,-6.91%,-12.85%,-16.25%,-14.66%,-7.82%,-5.70%,,
1160,东方永润债券A,1.0431,-0.02%,-0.02%,1.48%,1.04%,11.34%,4.23%,,
1161,东方永润债券C,1.0296,-0.06%,-0.12%,1.28%,0.70%,10.09%,2.88%,,
1162,前海开源优势蓝筹股票A,0.9106,-2.36%,-21.13%,-20.64%,-17.71%,-10.25%,-8.90%,,
1163,银华中国梦30股票,0.8468,-3.09%,-18.24%,-22.58%,-20.47%,-3.64%,-15.30%,,
1164,中欧琪和灵活配置混合A,1.2257,2.88%,2.23%,2.11%,4.77%,16.34%,22.16%,,
1165,中欧琪和灵活配置混合C,1.1308,-0.44%,-1.15%,-1.44%,0.84%,9.40%,13.23%,,
1166,建信环保产业股票,0.5634,-4.40%,-11.86%,-25.85%,-32.01%,-30.07%,-43.50%,,
1167,金鹰科技创新股票,0.532,-7.30%,-22.53%,-18.87%,-25.45%,-21.85%,-46.70%,,
1168,国投瑞银优选收益混合,1.0393,0.14%,0.62%,1.51%,-7.34%,2.80%,5.89%,,
1170,泰达宏利复兴混合,0.7676,-2.66%,-16.50%,-24.09%,-19.31%,-13.98%,-23.10%,,
1171,工银养老产业股票,0.6718,-7.96%,-22.16%,-22.96%,-10.65%,-0.15%,-32.90%,,
1172,鹏华弘泽混合A,1.1014,-2.11%,-3.01%,-2.33%,-3.35%,6.93%,10.03%,,
1173,中欧瑾和灵活配置混合A,0.9926,-0.99%,-5.49%,-9.60%,-11.68%,-2.82%,-0.20%,,
1174,中欧瑾和灵活配置混合C,0.9725,-1.11%,-5.70%,-9.87%,-12.06%,-4.59%,-2.30%,,
1175,山证日日添利货币A,0.7663,0.24%,0.73%,1.59%,3.47%,9.43%,10.73%,,
1176,山证日日添利货币B,0.8334,0.26%,0.79%,1.72%,3.74%,10.26%,11.49%,,
1177,山证日日添利货币C,0.3238,0.11%,0.35%,0.83%,1.93%,4.61%,5.19%,,
1178,前海开源再融资股票,0.9037,-5.65%,-16.65%,-22.53%,-20.12%,9.86%,9.09%,,
1179,德邦大健康灵活配置混合,0.9705,0.25%,-10.86%,-13.90%,-7.28%,27.12%,1.14%,,
1180,广发医药卫生联接A,0.7024,-6.41%,-21.61%,-22.82%,-17.44%,-13.36%,-29.74%,,
1181,南方改革机遇,0.8159,-0.12%,-6.54%,-10.44%,-17.34%,-8.43%,-18.50%,,
1182,易方达安心回馈混合,1.2369,-2.23%,-5.62%,-9.78%,-4.14%,21.01%,22.70%,,
1183,南方利淘A,1.1433,0.09%,-0.17%,0.18%,2.05%,13.06%,14.30%,,
1184,易方达新常态灵活配置混合,0.3233,-9.32%,-22.65%,-34.89%,-41.10%,-50.16%,-67.90%,,
1185,安信动态策略混合A,1.2089,-0.21%,-1.60%,-5.33%,-2.58%,16.86%,20.48%,,
1186,富国文体健康股票,0.8457,-3.90%,-14.68%,-21.33%,-12.36%,24.00%,-16.30%,,
1188,鹏华改革红利股票,0.73,0.96%,-8.44%,-13.07%,-14.09%,-1.73%,-26.20%,,
1189,广发聚宝混合,1.1681,0.00%,-0.60%,-1.27%,3.73%,14.06%,16.80%,,
1190,鹏华弘润混合A,1.1351,0.25%,0.17%,0.28%,2.29%,10.62%,13.61%,,
1191,鹏华弘润混合C,1.1187,0.22%,0.12%,0.27%,2.13%,9.77%,11.97%,,
1192,上投摩根整合驱动混合,0.5075,-8.39%,-24.40%,-28.69%,-31.89%,-27.46%,-49.80%,,
1193,中金消费升级,0.6101,-1.61%,-16.98%,-18.21%,-30.17%,-29.93%,-38.90%,,
1194,景顺长城稳健回报混合A,1.146,0.44%,0.88%,1.78%,3.25%,11.82%,14.50%,,
1195,工银农业产业股票,0.5448,0.56%,-13.00%,-10.41%,-13.83%,-16.10%,-45.80%,,
1196,东方鼎新灵活配置混合A,1.0073,-0.88%,-7.27%,-15.17%,-14.15%,-1.83%,0.71%,,
1197,长盛转型升级主题灵活配置混合,0.7743,-1.52%,-6.92%,-8.88%,-9.30%,-8.13%,-22.00%,,
1198,东方惠新灵活配置混合A,1.0669,-1.05%,-4.42%,-6.30%,-8.45%,3.19%,6.13%,,
1199,创金合信聚利债券A,1.0279,1.38%,2.08%,-1.91%,-5.42%,0.19%,2.90%,,
1200,创金合信聚利债券C,1.0118,1.40%,2.01%,-2.03%,-5.77%,-1.17%,1.30%,,
1201,申万菱信安鑫回报混合A,1.0679,0.09%,-0.75%,-1.00%,-2.13%,9.40%,11.48%,,
1202,东方红领先精选混合,1.0625,-0.84%,-3.54%,-5.60%,0.00%,16.50%,18.25%,,
1203,东方红稳健精选混合A,1.2291,0.16%,-1.68%,-2.85%,1.07%,16.60%,22.90%,,
1204,东方红稳健精选混合C,1.2471,0.16%,-1.81%,-3.11%,0.56%,15.89%,24.70%,,
1205,建信稳健回报灵活配置混合,0.9994,0.00%,-1.28%,-2.15%,-1.68%,7.93%,12.79%,,
1206,广发聚惠混合A,1.085,0.46%,-0.28%,0.00%,-5.24%,3.14%,8.50%,,
1207,广发聚惠混合C,1.097,0.37%,-0.36%,0.00%,-5.27%,2.43%,9.60%,,
1208,诺安低碳经济股票,0.9989,1.53%,-8.47%,-11.64%,-1.19%,25.35%,-0.60%,,
1209,前海开源一带一路混合A,0.7406,-4.12%,-8.25%,-12.15%,-22.15%,-21.99%,-25.50%,,
1210,天弘互联网混合,0.4963,-6.91%,-18.60%,-24.63%,-25.71%,-25.48%,-50.28%,,
1211,中欧滚钱宝货币A,0.8208,0.25%,0.84%,1.84%,3.99%,11.92%,12.47%,,
1212,华润元大稳健债券A,1.0241,0.49%,0.69%,1.09%,0.49%,--,3.35%,,
1213,华润元大稳健债券C,1.0141,0.40%,0.60%,0.70%,0.30%,--,2.18%,,
1214,华泰柏瑞中证500ETF联接A,0.4583,-8.34%,-16.12%,-26.73%,-32.53%,-30.48%,-54.16%,,
1215,博时沪港深优质企业基金A,0.7106,-3.92%,-7.55%,-22.32%,-17.25%,-7.07%,-29.00%,,
1216,易方达新收益混合A,1.2527,-0.16%,-0.40%,-2.04%,1.79%,18.97%,24.80%,,
1217,易方达新收益混合C,1.2357,-0.08%,-0.40%,-2.07%,1.65%,18.71%,23.10%,,
1218,国投瑞银精选收益混合,0.5351,-3.58%,-18.36%,-26.80%,-27.79%,-30.58%,-46.20%,,
